case_id,standard_name,question,expected_outcome,question_type,scenario
v3_edge_0001_01_ready_8a4c669fdb,Professional Auditing Standards (General),"Under Professional Auditing Standards (General), management says the transaction is partly in scope and partly out of scope. How should the boundary be determined, and what facts would change the conclusion?",READY,ready,scope_boundary_conflict
v3_edge_0001_02_ready_bd73183e96,Professional Auditing Standards (General),"For Professional Auditing Standards (General), a single contract has multiple components with different risk profiles. How should treatment be split, and what is the audit evidence trail for each component?",READY,ready,mixed_components
v3_edge_0001_03_ready_0906e081e8,Professional Auditing Standards (General),"Applying Professional Auditing Standards (General), terms were renegotiated just before year-end. Should treatment follow original terms, revised terms, or a split approach?",READY,ready,midyear_change
v3_edge_0001_04_ready_28e55e0d9e,Professional Auditing Standards (General),"In Professional Auditing Standards (General), management selected an allowed policy option this year but used a different one last year. How should consistency, comparability, and disclosure be evaluated?",READY,ready,policy_option_consistency
v3_edge_0001_05_ready_27d9a75882,Professional Auditing Standards (General),"For Professional Auditing Standards (General), key data points are incomplete and management proposes a proxy. What minimum support is needed before an auditor can accept the conclusion?",READY,ready,incomplete_data
v3_edge_0001_06_ready_ece05db5e9,Professional Auditing Standards (General),"Under Professional Auditing Standards (General), system classification disagrees with contract language. Which evidence should take precedence and how should conflict resolution be documented?",READY,ready,contract_vs_system_mismatch
v3_edge_0001_07_ready_568fc6fbda,Professional Auditing Standards (General),"For Professional Auditing Standards (General), the fact pattern appears to overlap with another standard. How should dependencies and order-of-application be determined?",READY,ready,cross_standard_interaction
v3_edge_0001_08_ready_d6675a3e71,Professional Auditing Standards (General),"Applying Professional Auditing Standards (General), an item is quantitatively small but qualitatively high-risk. How should audit response depth be adjusted?",READY,ready,materiality_judgement_edge
v3_edge_0001_09_ready_0f2d6e401f,Professional Auditing Standards (General),"Under Professional Auditing Standards (General), quantitative note tables tie out, but the narrative disclosure implies a different risk story. How should this inconsistency be assessed and reported?",READY,ready,disclosure_mismatch
v3_edge_0001_10_ready_2bdde7c4e0,Professional Auditing Standards (General),"For Professional Auditing Standards (General), late-period adjustments consistently move results in one direction. What indicators of management bias should the auditor evaluate first?",READY,ready,management_bias_pressure
v3_edge_0001_11_clarification_e11a21b144,Professional Auditing Standards (General),"In a cross-border restructuring, how should it apply when one contract is partly in scope, and what are its dependencies on other standards?",NEEDS_CLARIFICATION,clarification,clarify_target_standard_scope_split
v3_edge_0001_12_clarification_edbd2312fa,Professional Auditing Standards (General),Management changed policy options this year; how should it be evaluated and what are its dependencies?,NEEDS_CLARIFICATION,clarification,clarify_target_standard_policy_change
v3_edge_0001_13_clarification_e53da2339d,Professional Auditing Standards (General),"If data is incomplete and proxies are used, how should it be assessed and what are its dependencies?",NEEDS_CLARIFICATION,clarification,clarify_target_standard_data_proxy
v3_edge_0001_14_clarification_4ea816d6a0,Professional Auditing Standards (General),"When contract terms conflict with system classification, how should it be resolved and what are its dependencies?",NEEDS_CLARIFICATION,clarification,clarify_target_standard_contract_system_conflict
v3_edge_0001_15_clarification_47c7bfca50,Professional Auditing Standards (General),"For mixed contract components with different risk features, how should it be split and what are its dependencies?",NEEDS_CLARIFICATION,clarification,clarify_target_standard_mixed_components
v3_edge_0001_16_clarification_63a16c1a87,Professional Auditing Standards (General),"If business purpose changes near year-end, when should it be reclassified and what are its dependencies?",NEEDS_CLARIFICATION,clarification,clarify_target_standard_reclassification
v3_edge_0001_17_clarification_272179e726,Professional Auditing Standards (General),"Where legal title transfers but risks are partly retained, how should it be treated and what are its dependencies?",NEEDS_CLARIFICATION,clarification,clarify_target_standard_derecognition
v3_edge_0001_18_clarification_1043931efb,Professional Auditing Standards (General),"When valuation inputs are disputed across providers, how should it be concluded and what are its dependencies?",NEEDS_CLARIFICATION,clarification,clarify_target_standard_level_uncertainty
v3_edge_0001_19_clarification_6017262c61,Professional Auditing Standards (General),"If late manual overlays materially change the result, how should it be challenged and what are its dependencies?",NEEDS_CLARIFICATION,clarification,clarify_target_standard_overlays
v3_edge_0001_20_clarification_9a3556cff0,Professional Auditing Standards (General),"If assumptions consistently move outcomes one way, how should it be tested for bias and what are its dependencies?",NEEDS_CLARIFICATION,clarification,clarify_target_standard_judgement_bias
v3_edge_0002_01_ready_16da23835d,Professional Auditing Standards (General),"Under Professional Auditing Standards (General), management says the transaction is partly in scope and partly out of scope. How should the boundary be determined, and what facts would change the conclusion?",READY,ready,scope_boundary_conflict
v3_edge_0002_02_ready_7a309543f2,Professional Auditing Standards (General),"For Professional Auditing Standards (General), a single contract has multiple components with different risk profiles. How should treatment be split, and what is the audit evidence trail for each component?",READY,ready,mixed_components
v3_edge_0002_03_ready_c3427faba6,Professional Auditing Standards (General),"Applying Professional Auditing Standards (General), terms were renegotiated just before year-end. Should treatment follow original terms, revised terms, or a split approach?",READY,ready,midyear_change
v3_edge_0002_04_ready_9947498493,Professional Auditing Standards (General),"In Professional Auditing Standards (General), management selected an allowed policy option this year but used a different one last year. How should consistency, comparability, and disclosure be evaluated?",READY,ready,policy_option_consistency
v3_edge_0002_05_ready_9606ef6b4e,Professional Auditing Standards (General),"For Professional Auditing Standards (General), key data points are incomplete and management proposes a proxy. What minimum support is needed before an auditor can accept the conclusion?",READY,ready,incomplete_data
